finding_id,issue_title,unit,program,year,cause_detail,issue_detail,recommendation,outcomes_impact
FL-0014,การดำเนินงานไม่บรรลุวัตถุประสงค์เป้าหมายของโครงการ                                                  ,เทศบาลเมืองกำแพงเพชร,โครงการก่อสร้างสถานีขนถ่ายขยะมูลฝอยของเทศบาลเมืองกำแพงเพชรอ.รัตภูมิ จ.สงขลา,2562,โดยเส้นทางเข้าสู่สถานีขนถ่ายขยะมูลฝอยที่เทศบาลเมืองกำแพงเพชรเลือกนั้น ปัจจุบันเป็นถนนดินลูกรังที่วิ่งผ่านสวนยางพาราของประชาชน 1.ไม่มีถนนทางเข้าสถานีขนถ่ายที่ได้มาตรฐาน,1.การดำเนินโครงการก่อสร้างสถานีขนถ่ายขยะมูลฝอยเทศบาลเมืองกำแพงเพชรไม่บรรลุวัตถุประสงค์/เป้าหมาย,"1.ดูแลรักษาสถานีขนถ่ายขยะมูลฝอยให้อยู่ในสภาพที่พร้อมใช้งาน 
เมื่อดำเนินการก่อสร้างถนนทางเข้าสถานีขนถ่ายขยะมูลฝอย 
และขยายเขตไฟฟ้าแล้วเสร็จ สามารถเปิดดำเนินการได้ทันที
2.เร่งดำเนินการก่อสร้างถนนและขอขยายเขตไฟฟ้าจากการไฟฟ้าส่วนภูมิภาคให้แล้วเสร็จ 
เพื่อที่จ","1.ตามสัญญาเดิม 
โครงการก่อสร้างสถานีขนถ่ายขยะมูลฝอยถูกกำหนดให้แล้วเสร็จในปีงบประมาณ 2560 
เพื่อที่จะให้โครงการสามารถสอดรับกับเป้าหมาย Roadmap 
การบริหารจัดการขยะมูลฝอย คือ นำขยะสะสมของอปท.ทั้ง 7 แห่ง ปริมาณ 58,708 ตัน 
มากำจัดอย่างถูกหลักวิชาการให้หมดภายใ"
FL-0015,การดำเนินงานไม่บรรลุวัตถุประสงค์เป้าหมายของโครงการ                                                  ,สำนักงานท้องถิ่นจังหวัดสุราษฎร์ธานี,โครงการด้านเทคโนโลยีและการสื่อสารขององค์กรปกครองส่วนท้องถิ่นในจังหวัดสุราษฎร์ธานี,2562,,,,
FL-0016,การดำเนินงานไม่บรรลุวัตถุประสงค์เป้าหมายของโครงการ                                                  ,สำนักงานปศุสัตว์จังหวัดประจวบคีรีขันธ์,โครงการเพิ่มศักยภาพการผลิตสินค้าปศุสัตว์ให้ได้มาตรฐานอาหารปลอดภัย (Food sefety)และปลอดมลภาวะ (Zero waste Livestotks),2562,ไม่ได้สอบถามความต้องการและความพร้อมของเกษตรกรที่จะเข้าร่วมกิจกรรม จากการสอบถามปศุสัตว์อำเภอจำนวน การกำหนดกลุ่มเป้าหมายเพื่อเข้าร่วมกิจกรรมต่าง,ผลการดำเนินกิจกรรมไม่บรรลุวัตถุประสงค์ของโครงการ,"	๑. การดำเนินโครงการ 
ควรมีการสำรวจความต้องการที่แท้จริงของกลุ่มเป้าหมายในการเข้าร่วมกิจกรรม 
รวมทั้งพิจารณาเกษตรกรที่มีความพร้อม 
และมีพื้นที่ดำเนินกิจกรรมที่เหมาะสมเพื่อกำหนดจำนวนกลุ่มเป้าหมายที่จะดำเนินการ 
และความเหมาะสมในการจัดสรรงบประมาณ ทำให้การใช้","การดำเนินกิจกรรมต่าง ๆ 
ไม่บรรลุตามวัตถุประสงค์ของโครงการส่งผลให้การใช้จ่ายงบประมาณในการดำเนินโครงการเป็นไปอย่างไม่คุ้มค่า 
ดังนี้
	๑. การส่งเสริมแปลงพืชอาหารสัตว์ในปีงบประมาณ พ.ศ. ๒๕๕๙ 
ของสำนักงานปศุสัตว์จังหวัดเพชรบุรี 
จากการสังเกตการณ์แปลงพืชอาหารสัต"
FL-0017,การดำเนินงานไม่บรรลุวัตถุประสงค์เป้าหมายของโครงการ                                                  ,กลุ่มจังหวัดภาคเหนือตอนบน 2,โครงการเพิ่มขีดในการแข่งขันการเกษตรระดับภูมิภาค(ภายใต้แผนงานบูรณาการพัฬนาจังหวัดและกลุ่มจังหวัด),2562,สาเหตข้อตรวจพบ สภาพปัญหาที่แท้จริงของระบบธุรกิจการเลี้ยงโคเนื้อ สำนักงานปศุสัตว์จังหวัดพะเยา,โครงการเพิ่มขีดในการแข่งขันการเกษตรระดับภูมิภาค เป็นโครงการภายใต้นโยบายของกระทรวงเกษตรและสหกรณ์ที่เล็งเห็นความสำคัญในการเลี้ยงโคเนื้อคุณภาพ ยั่งยืนและอาหารปลอดภัยสู่อาเซียน,"	ผู้ว่าการตรวจเงินแผ่นดิน โดยสำนักงานการตรวจเงินแผ่นดินภูมิภาคที่ 9 
(จังหวัดลำปาง) มีข้อเสนอแนะให้ผู้ว่าราชการจังหวัดเชียงราย 
(ในฐานะหัวหน้ากลุ่มจังหวัดภาคเหนือตอนบน 2) พิจารณาดำเนินการ ดังนี้
	ข้อตรวจพบที่ 1
1.	ให้ผู้บังคับบัญชาทุกระดับชั้น ตั้งแต่ผู้ว","มูลค่าเสียโอกาส	ฃ ไม่มี 	R มี (ระบุจำนวนเงิน)       24,796,710.00	บาท
แยกเป็นมูลค่าเสียโอกาสจากข้อตรวจพบที่ 1 และข้อสังเกต ดังนี้
ข้อตรวจพบที่ 1 
กรณีส่งคืนงบประมาณแผ่นดินทำให้กลุ่มเป้าหมายเสียโอกาสที่จะได้รับการพัฒนาจำนวน 
3,200,000.00 บาท 
และกรณีใช้จ่า"
FL-0018,การดำเนินงานไม่บรรลุวัตถุประสงค์เป้าหมายของโครงการ                                                  ,สำนักงานเกษตรจังหวัดขอนแก่น,โครงการพัฒนาคุณภาพการผลิตและเพิ่มมูลค่าผลผลิตข้าวครบวงจร ประจำปีงบประมาณ พ.ศ.2561 ของกลุ่มจังหวัดภาคตะวันออกเฉียงเหนือตอนกลาง,2562,การพิจารณาอนุมัติของคณะกรรมการบริหารงานกลุ่มจังหวัดแบบบูรณาการ ไม่ได้จัดเตรียมข้อมูลเกี่ยวกับกลุ่มเป้าหมาย สาเหตุเนื่องจากการจัดทำโครงการเพื่อขออนุมัติงบประมาณและเปลี่ยนแปลงงบประมาณ,1.การเปลี่ยนแปลงหน่วยดำเนินการและรายการครุภัณฑ์ไม่สอดคล้องกับกลุ่มเป้าหมายของ โครงการพัฒนาคุณภาพการผลิตและเพิ่มมูลค่าผลผลิตข้าวครบวงจร สำนักงานเกษตรจังหวัดขอนแก่นได้กำห,"1.สั่งกำชับให้กลุ่มงานบริหารยุทธศาสตร์กลุ่มจังหวัดภาคตะวันออกเฉียงเหนือตอนกลาง
ให้ความสำคัญและพิจารณาถึงกลุ่มเป้าหมาย ความสอดคล้องและเชื่อมโยงของโครงการ 
(ห่วงโซ่คุณค่าระดับต้นน้ำ กลางน้ำ และปลายน้ำ) รวมถึงวัตถุประสงค์ 
และผลสำเร็จตามตัวชี้วัดของโครงการ 
","การดำเนินโครงการไม่เป็นไปตามเป้าหมายและวัตถุประสงค์ของโครงการส่งผลต่อความ
สำเร็จของโครงการ ทำให้ไม่สามารถพัฒนาคุณภาพการผลิตและเพิ่มมูลค่าผลผลิตข้าว
ได้อย่างครบวงจรตามที่กำหนด ส่งผลต่อความสำเร็จของโครงการตามตัวชี้วัด 
และการบรรลุวัตถุประสงค์ของโครงการ
"
FL-0019,การดำเนินงานไม่บรรลุวัตถุประสงค์เป้าหมายของโครงการ                                                  ,เทศบาลตำบลนากลาง,โครงการก่อสร้างศูนย์การจัดการขยะมูลฝอยรวม เทศบาลตำบลนากลาง,2562,มูลฝอยรวมยังไม่ดำเนินการตามบันทึกข้อตกลงการรับเงินอุดหนุนจากกองทุนสิ่งแวดล้อมและคู่มือดำเนินการศูนย์กำจัดขยะมูลฝอยรวมเทศบาลตำบลนากลาง การที่เทศบาลตำบลนากลางมีการบริหารจัดการโครงการก่อสร้างศูนย์การจัดการขยะ มีสาเหตุ,ยังไม่ดำเนินการตามบันทึกข้อตกลงการรับเงินอุดหนุนจากกองทุนสิ่งแวดล้อมและคู่มือดำเนินการศูนย์กำจัดขยะมูลฝอยรวมเทศบาลตำบลนากลาง การบริหารจัดการโครงการก่อสร้างศูนย์การจัดการขยะมูลฝอยรวม โดยสรุปข้อตรวจพบและข้อสังเกต,"เพื่อให้การดำเนินการบริหารจัดการโครงการก่อสร้างศูนย์การจัดการขยะมูลฝอยรวมของเทศบาลตำบลนากลางเป็นไปตามมาตรฐานการดำเนินการในระบบฝังกลบ 
เพื่อลดผลกระทบต่อสิ่งแวดล้อมและส่งผลกระทบต่อประชาชนที่อยู่ติดกับโครงการ 
โดยให้การบริหารจัดการศูนย์การจัดการขยะมูลฝอยเป็น","การที่องค์กรปกครองส่วนท้องถิ่นไม่ให้ความสำคัญและไม่ดำเนินการอย่างจริงจังเพื่อให้ประชาชนในท้องถิ่นมีจิตสำนึกเห็นถึงความสำคัญและประโยชน์ของการลดและคัดแยกขยะมูลฝอย 
และประชาชนไม่ดำเนินการคัดแยกขยะมูลฝอยอย่างจริงจัง มีผลกระทบดังนี้
1. การดำเนินงานโครงการไม่บร"
FL-0020,การดำเนินงานไม่บรรลุวัตถุประสงค์เป้าหมายของโครงการ                                                  ,สำนักงานจังหวัดอุบลราชธานี,โครงการพัฒนาและส่งเสริมการเกษตรในกลุ่มจังหวัดภาคตะวันออกเฉีย1,2562,ขาดความเป็นไปได้ที่จะสามารถผลิตและจำหน่ายสินค้าในต่างประเทศได้ ออกแบบบรรจุภัณฑ์ราคาสูงและไม่มีตลาดรองรับ จัดทำโครงการและดำเนินโครงการที่มีลักษณะ,โครงการยกระดับมาตรฐานการผลิตและพัฒนาผลิตภัณฑ์แปรรูปเพื่อสร้างมูลค่าเพิ่มให้กับผลิตภัณฑ์ข้าวและเกษตรอินทรีย์สู่สากลยังไม่มีผลสัมฤทธิ์เพื่อการส่งเสริมการจำหน่ายสินค้าทั้งตลาดในประเทศและต่างประเทศ จากการตรวจสอบบริษัท/กลุ่มเกษตรกรที่เข้าร่วมโ ข้อตรวจพบที่,"1.ปรับปรุงแก้ไขผลการดำเนินโครงการให้สามารถจำหน่ายสินค้าในระดับท้องถิ่นให้ได้ก่อน 
แล้วขยายผลไปสู่ตลาดภายในประเทศและต่างประเทศตามวัตถุประสงค์และเป้าหมายของโครงการ 
และตามรายงานผลการศึกษาออกแบบของที่ปรึกษาโดยเร็ว 
หรือตามแนวทางข้อเสนอแนะของสำนักงานการตรวจเง","ทำให้การใช้จ่ายงบประมาณที่ใช้เพื่อการลงทุนกลุ่ม/บริษัท ๆ ละ ประมาณ 500,000 
บาท รวมทั้งหมด 20 กลุ่ม/บริษัท เป็นเงินจำนวน 10,176,000.00 บาท 
ยังไม่เกิดความคุ้มค่าและขาดโอกาสในการนำงบประมาณไปพัฒนาสินค้ากลุ่มอื่นๆ 
ที่มีศักยภาพและสามารถส่งออกต่างประเทศได้ตาม"
FL-0021,การดำเนินงานไม่บรรลุวัตถุประสงค์เป้าหมายของโครงการ                                                  ,สำนักงานประมงจังหวัดฉะเชิงเทรา,โครงการการยกระดับคุณภาพและการแปรรูปสินค้าเกษตร งบประมาณจังหวัด ปีงบประมาณ 2560 - 2562,2562,สำนักงานสหกรณ์จังหวัดระยองไม่มีข้อมูลเกี่ยวกับเกษตรกรผู้ปลูกทุเรียนในจังหวัดระยองที่เพียงพอ และเกษตรกรส่วนใหญ่ที่เข้าร่วมประชุมไม่ขอรับแจกสติกเกอร์ กรณีไม่บรรลุเป้าหมายจำนวนเกษตรที่เข้าร่วมประชุมชี้แจง,การดำเนินการตามเป้าหมายของโครงการ,"	1.  ให้ผู้ว่าราชการจังหวัดระยอง พิจารณาดำเนินการ 
          
มอบหมายให้สำนักงานเกษตรจังหวัดระยองและหน่วยงานที่เกี่ยวข้องสำรวจความต้องการของเกษตรกรผู้ปลูกทุเรียนระยอง 
ศึกษาวิเคราะห์ช่องทางการจำหน่ายทุเรียน 
เพื่อหาแนวทางในการส่งเสริมการจำหน่ายทุเรียนให้เ","1. การจัดประชุมเกษตรกรไม่ครบตามเป้าหมายที่กำหนด 
ในกิจกรรมการสร้างมูลค่าเพิ่มและความเชื่อมั่นให้กับทุเรียนระยอง 
ส่งผลกระทบให้เกษตรกรผู้ปลูกทุเรียนที่มีการขึ้นทะเบียนเกษตรกรกับสำนักงานเกษตรจังหวัดระยอง 
ตามเป้าหมายในปี 2562 จำนวน 3,000 ราย ผ่านการประชุมชี"
FL-0022,การดำเนินงานไม่บรรลุวัตถุประสงค์เป้าหมายของโครงการ                                                  ,สำนักงานประมงจังหวัดฉะเชิงเทรา,โครงการการยกระดับคุณภาพและการแปรรูปสินค้าเกษตร งบประมาณจังหวัด ปีงบประมาณ 2560 - 2562,2562,1.เจ้าหน้าที่ต้องจัดทำรายงานการติดตามประเมินผลให้แล้วเสร็จภายในสิ้นเดือนสิงหาคมซึ่งโครงการดำเนินการยังไม่สิ้นสุดรอบการเลี้ยงสัตว์น้ำ ทำให้ยังไม่ได้มีการถอดบทเรียนเพื่อสรุปเป็นองค์ความรู้ เจ้าหน้าที่ผู,โครงการพัฒนาการเลี้ยงสัตว์น้ำในพื้นที่ที่มีความเหมาะสมการเลี้ยงกุ้งขาวร่วมกับปลาน้ำจืดที่มีคุณค่าทางเศรษฐกิจในบ่อดิน การดำเนินโครงการไม่บรรลุวัตถุประสงค์เรื่องการรวบรวมองค์ความรู้เพื่อใช้ในการส่งเสริมเกษตรกร มีวัตถ,"ให้ประมงจังหวัดฉะเชิงเทรา พิจารณาดำเนินการ ดังนี้
1.ให้เจ้าหน้าที่ผู้รับผิดชอบโครงการเร่งรัดกระบวนการถอดบทเรียนเพื่อสรุปเป็นองค์ความรู้ 
โดยการถอดบทเรียนต้องแสดงให้เห็นถึงความโดดเด่น 
และมีการปฏิบัติที่ดีในการเลี้ยงกุ้งขาวปลานิลร่วมกัน 
หรือเป็นเทคนิคเฉพา","การดำเนินโครงการพัฒนาการเลี้ยงสัตว์น้ำในพื้นที่ที่มีความเหมาะสมการเลี้ยงกุ้งขาวร่วมกับปลาน้ำจืดที่มีคุณค่าทางเศรษฐกิจในบ่อดิน 
ปีงบประมาณ 2561 
ไม่บรรลุวัตถุประสงค์ในเรื่องการรวบรวมองค์ความรู้เพื่อใช้ในการส่งเสริมเกษตรกรส่งผลกระทบทำให้หน่วยงานไม่มีข้อมูลอ"
FL-0024,การดำเนินงานไม่บรรลุวัตถุประสงค์เป้าหมายของโครงการ                                                  ,กรมบัญชีกลาง,โครงการประชารัฐสวัสดิการ,2562,กิจกรรมตามมาตรการพัฒนาคุณภาพชีวิตผู้มีบัตรสวัสดิการแห่งรัฐ ส่วนใหญ่เป็นลักษณะเน้นการอบรมฝึกอาชีพตามแนวทางเดิมที่หน่วยงาน พัฒนาดำเนินการตามภารกิจปกติ,การดำเนินมาตรการพัฒนาคุณภาพชีวิตผู้มีบัตรสวัสดิการแห่งรัฐไม่บรรลุวัตถุประสงค์ ที่กำหนดไว้,"ให้มีการปรับปรุงกระบวนการ ขั้นตอน 
และแผนการพัฒนาคุณภาพชีวิตให้กับผู้มีรายได้น้อย 
โดยต้องทบทวนกำหนดกรอบเวลาการปฏิบัติงานของหน่วยงานที่เกี่ยวข้อง 
เกี่ยวเนื่องสัมพันธ์กันให้สามารถปฏิบัติงานได้โดยไม่เกิดความเร่งรีบ 
มุ่งเน้นผลสัมฤทธิ์ของการดำเนินงาน กำหนดแ","เกิดความไม่คุ้มค่าของเงินงบประมาณที่รัฐใช้ในการจัดสวัสดิการตามมาตรการ
เพื่อจูงใจให้กลุ่มเป้าหมายเข้าร่วมมาตรการพัฒนาคุณภาพชีวิต 
เป็นจำนวนเงินไม่น้อยกว่า 3,233.76 ล้านบาท 
"
