finding_id,issue_title,unit,program,year,cause_detail,issue_detail,recommendation,outcomes_impact
FL-0001,กฎหมายไม่สอดคล้องกับสภาพปัจจุบัน                                                                    ,กรมที่ดิน,การดูดทรายในที่ดินของรัฐ แม่น้ำโขง,2560,โดยส่วนมากยังคงใช้ตามอัตราเดิมที่ค่อนข้างต่ำและไม่เหมาะสม ว่าด้วยการอนุญาตให้ดูดทราย ระเบียบกระทรวงมหาดไทย,การจัดเก็บรายได้จากการอนุญาตดูดทรายไม่สอดคล้องกับปริมาณทรายที่ผู้ประกอบการ และการกำหนดอัตราค่าตอบแทนจากการดูดทรายไม่เหมาะสม ดำเนินการดูดได้,"1.ให้รัฐมนตรีว่าการกระทรวงมหาดไทย ดังนี้
	1.1 พิจารณาทบทวนปรับปรุงระเบียบกระทรวงมหาดไทย ว่าด้วยการอนุญาตให้
ดูดทราย พ.ศ. 2546 ให้สอดคล้องกับสถานการณ์ปัจจุบัน
		1.1.1 กำหนดวิธีการควบคุมปริมาณทรายที่ผู้ประกอบการดำเนินการ
ได้จริงให้เป็นไปตามปริมาณทรายที่ได้ร","ส่งผลให้รัฐสูญเสียทรัพยากรธรรมชาติเกินกว่าที่อนุญาตไว้ และผู้ประกอบการได้
ประโยชน์จากปริมาณส่วนเกินจากที่ได้รับอนุญาต โดยคิดมูลค่าทรายจากปริมาณส่วนเกิน
ที่ผู้ประกอบการจำหน่ายได้เป็นเงินประมาณ 81,196,250.00 บาท และกรวดเป็นเงินประมาณ
47,806,240.00 บาท รวมทั"
FL-0002,กฎหมายไม่สอดคล้องกับสภาพปัจจุบัน                                                                    ,กรุงเทพมหานคร,การตรวจสอบการดำเนินงานการบังคับใช้กฎหมายควบคุมอาคารในเขตกรุงเทพมหานคร,2560,ยังไม่มีมาตรการดำเนินการกับเจ้าของอาคารที่ประกอบการโรงภาพยนต์ที่เพิกเฉย ไม่ดำเนินการแก้ไขให้เป็นไปตามกฎหมาย กทม.,ระบบป้องกันอัคคีภัยในอาคารโรงภาพยนต์ทั้ง โดยมีอุปกรณ์ประกอบอาคารไม่เป็นไปตามที่กฎหมายกำหนด ของโรงภาพยนต์ทั้งหมดในพื้นที่,"พิจารณาดำเนินการ กำหนดมาตรการ และดำเนินการให้เป็นไปตามกฎหมายอย่างเคร่งครัด
กับเจ้าของอาคารที่ประกอบการโรงภาพยนต์ที่เพิกเฉยไม่ดำเนินการแก้ไขให้เป็นไปตาม
กฎหมาย

","ก่อให้เกิดความเสี่ยงที่อาจเกิดความไม่ปลอดภัยในชีวิตแล้ทรัพย์สิยของประชาชน
ที่ใช้บริการ 

"
FL-0047,การดำเนินงานไม่บรรลุวัตถุประสงค์เป้าหมายของโครงการ                                                  ,สำนักงานพลังงานจังหวัดกาญจนบุรี,โครงการนำร่องการนำเทคโนโลยีพลังงานทดแทนมาใช้ในระบบสูบน้ำเพื่อผลิตน้ำประปาหมู่บ้านและผลิตไฟฟาสำหรับชุมชน,2560,การดำเนินงานโครงการนำร่องการนำเทคโนโลยีพลังงานทดแทนมาใช้ในระบบสูบน้ำเพื่อผลิตน้ำประปาหมู่บ้านและผลิตไฟฟ้าสำหรับชุมชน ไม่สามารถใช้ประโยชน์ให้บรรลุวัตถุประสงค์โครงการได้ สำนักงานพลังงานจังหวัดกาญจนบุรี,โครงการนำร่องการนำเทคโนโลยีพลังงานทดแทนมาใช้ในระบบสูบน้ำเพื่อผลิตน้ำประปาหมู่บ้านและผลิตไฟฟ้าสำหรับชุมชน ไม่สามารถใช้ประโยชน์ให้บรรลุวัตถุประสงค์โครงการได้ สำนักงานพลังงานจังหวัดกาญจนบุรี,"เพื่อให้การดำเนินงานโครงการนำร่องการนำเทคโนโลยีพลังงานทดแทนมาใช้ในระบบสูบน้ำเพื่อผลิตน้ำประปาหมู่บ้านและผลิตไฟฟ้าสำหรับชุมชน 
มีประสิทธิภาพและเกิดประสิทธิผล สำนักงานการตรวจเงินแผ่นดินมีข้อเสนอแนะให้ 
สำนักงานพลังงานจังหวัดกาญจนบุรี ดำเนินการดังนี้
	๑. กรณ","การดำเนินงานโครงการนำร่องการนำเทคโนโลยีพลังงานทดแทนมาใช้ในระบบสูบน้ำเพื่อผลิตน้ำประปาหมู่บ้านและผลิตไฟฟ้าสำหรับชุมชน 
ไม่สามารถใช้ประโยชน์ให้บรรลุวัตถุประสงค์โครงการได้ ส่งผลกระทบดังนี้
 ๑. รัฐสูญเสียงบประมาณในการบริหารประเทศ เป็นจำนวนเงิน ๖,๓๕๐,๐๐๐.๐๐ บา"
FL-0061,การดำเนินงานไม่บรรลุวัตถุประสงค์เป้าหมายของโครงการ                                                  ,สำนักงานจังหวัดสตูล,โครงการพัฒนาเมืองสตูล,2560,1.การส่งมอบและการรับมอบทรัพย์สินสิ่งปลูกสร้างของโครงการฯล่าช้า 2.ขาดการบูรณาการในการสร้างกิจกรรมการท่องเที่ยวที่เป็นรูปธรรม 3.โครงการพัฒนาเมืองสตูลอยู่ในสภาพที่มีความชำรุดบกพร่องอย่างชัดเจน,การดำเนินโครงการยังไม่บรรลุวัตถุประสงค์อย่างมีนัยสำคัญในด้านการส่งเสริมการท่องเที่ยว,"ให้ ผวจ.สตูล พิจารณาดำเนินการ ดังนี้
1.จัดให้มีการจัดทำแผนการส่งเสริมการท่องเที่ยวในพื้นที่โครงการพัฒนาเมืองสตูลที่มีความชัดเจนโดยเร็ว
2.กำกับดูแลให้มีการซ่อมแซมสิ่งก่อสร้างของโครงการพัฒนาเมืองสตูล 
ซึ่งผู้รับจ้างยังมีพันธะในการประกันความชำรุดบกพร่อง 
ให้","การที่โครงการยังไม่สามารถบรรลุวัตถุประสงค์อย่างมีนัยสำคัญในด้านการส่งเสริมการท่องเที่ยวที่กำหนดไว้ได้ 
ส่งผลให้เกิดความเสี่ยงในการใช้จ่ายเงินงบประมาณแผ่นดินที่จะเป็นไปโดยไม่คุ้มค่า
"
FL-0062,การดำเนินงานไม่บรรลุวัตถุประสงค์เป้าหมายของโครงการ                                                  ,สำนักงานท้องถิ่นจังหวัดสุราษฎร์ธานี,เงินอุดหนุนสนับสนุนการแก้ไขปัญหาการขาดแคลนน้ำอุปโภคบริโภคให้แก่ประชาชน ปีงบประมาณ 2558,2560,อปท.ได้รับจัดสรรงบประมาณพร้อมกันในขณะที่มีผู้รับจ้างก่อสรา้งจำนวนน้อยรายแต่รับงานหลายสัญญา การจัดจ้างล่าช้าโดยมีการประกาศจัดจ้างหลายครั้งเนื่องจากไม่มีผู้มาซื้อเอกสารหรือไม่มีผู้สนใจยื่นเอกสารทำให้ต้องประกาศหลายครั้ง,การดำเนินการก่อสรา้งระบบประปาหมู่บ้านล่าช้าไม่เป็นไปตามแผน,,
FL-0063,การดำเนินงานไม่บรรลุวัตถุประสงค์เป้าหมายของโครงการ                                                  ,สำนักงานจังหวัดสุราษฎร์ธานี,โครงการเพิ่มมูลค่าผลิตภัณฑ์ยางพารา ปีงบประมาณ 2558,2560,,โรงงานผลิตยางคอมปาวด์เพื่อป้อนสู่โรงงานผลิตสายพานลำเลียงไม่ได้เปิดดำเนินกิจการ,,
FL-0065,การดำเนินงานไม่บรรลุวัตถุประสงค์เป้าหมายของโครงการ                                                  ,สำนักงานธนารักษ์พื้นที่กำแพงเพชร,การบริหารจัดการที่ราชพัสดุของสำนักงานธนารักษ์พื้นที่,2560,ธนารักษ์พื้นที่และเจ้าหน้าที่ไม่มีการประชาสัมพันธ์หรือแจ้งข้อมูลข่าวสารให้หน่วยงานขอใช้ทราบถึงกฎ ส่วนราชการ/อปท. และแนวทางปฏิบัติเกี่ยวกับการใช้ประ,2. การบริหารจัดการที่ราชพัสดุโดยการจัดให้เช่าของสำนักงานธนารักษ์พื้นที่บางส่วนไม่เป็นไปตาม ระเบียบ หลักเกณฑ์และหนังสือสั่งการที่กำหนด,"ธนารักษ์พื้นที่กำแพงเพชร/ธนารักษ์พื้นที่พิจิตร
1. ตรวจสอบและจัดเก็บค่าธรรมเนียมการจัดประโยชน์กรณีที่ส่วนราชการ/อปท. 
ผู้ขอใช้นำที่ราชพัสดุไปจัดประโยชน์ตามประเด็นข้อตรวจพบที่ 1 
ให้ถูกต้องครบถ้วนในเบื้องต้นที่ตรวจพบของ สธพ.กำแพงเพชร จำนวนเงิน 
3,198,287.00","ธนารักษ์พื้นที่ไม่สามารถบริหารจัดการที่ราชพัสดุด้านการปกครอง การดูแล 
การบำรุงรักษา จากกรณีตามข้อตรวจพบ 
เรื่องการจัดประโยชน์บนพื้นที่ครอบครองของส่วนราชการ/อปท. 
การจัดเก็บรายได้ไม่เป็นไปตามระเบียบ หลักเกณฑ์ 
และหนังสือสั่งการที่กรมธนารักษ์กำหนด  การบริหา"
FL-0066,การดำเนินงานไม่บรรลุวัตถุประสงค์เป้าหมายของโครงการ                                                  ,สำนักงานจังหวัดแพร่,โครงการตามมาตรการส่งเสริมความเป็นอยู่ระดับตำบล (ตำบลละ 5 ล้านบาท) จ.แพร่,2560,2.เจ้าหน้าที่ที่เกี่ยวข้องทุกระดับชั้นปฏิบัติหน้าที่ไม่เป็นไปตามระเบียบและหนังส 1.คณะกรรมการบูรณาการกลั่นกรองระดับอำเภอและจังหวัด ดูแลการดำเนินการว่าเป็นไปตามหลักเกณฑ์แต่ละขั้นตอน,การพิจารณาและดำเนินการไม่เป็นไปตามแนวทางและหนังสือสั่งการที่กำหนด ดำเนินโครงการซ้ำซ้อนกับแผนงาน/โครงการ/กิจกรรมของส่วนราชการ/หน่ 1.การดำเนินโครงการไม่เป็นไปตามหลักเกณฑ์และแนวทางที่กำหนด,"ข้อตรวจพบที่1. 
1.สั่งการให้นายอำเภอทุกอำเภอ รายงานรายการครุภัณฑ์/สิ่งก่อสร้างให้สำนักงานจังหวัดทราบ
2.ตรวจสอบการใช้จ่ายเงินงบประมาณของ 
อปท.ในพื้นที่ว่ามีการดำเนินการและเบิกจ่ายซ้ำกับโครงการตำบลละ 5 ล้านหรือไม่
3.ติดตามใบเสร็จรับเงินจากเจ้าหนี้ เพื่อประก","1.ที่เป็นตัวเงิน 
  ทำใหราชการเสียหาย 249,224.370บาท
2.ที่ไม่เป็นตัวเงิน
  ไม่เกิดการจ้างงานในพื้นที่ ไม่ได้ช่วยเหลือประชาชนผู้มีรายได้น้อย 
ปัญหาหรือความต้องการความช่วยเหลือของประชาชนไม่ได้รับการแก้ไขอย่างแท้จริง 

"
FL-0068,การดำเนินงานไม่บรรลุวัตถุประสงค์เป้าหมายของโครงการ                                                  ,องค์การบริหารส่วนจังหวัดอุดรธานี,"โครงการ""ช่วยภัยหนาว เพื่อชาวอุดร"" ประจำปีงบประมาณ พ.ศ.2557",2560,องค์การบริหารส่วนจังหวัดอุดรธานีไม่มีข้อมูลรายละเอียดผู้ประสบภัยหนาวเพื่อนำมาจัดทำบัญชีรายชื่อประชาชนที่ได้รับความเดือดร้อนที่แท้จริงที่จะแจกผ้าห่มกันหนาวแยกเป็นรายอำเภอ และไม่ได้ให้ประชาชนลงลายมือชื่อในขณะที่ได้รับแจกผ้าห่มกันหนาวเพื่อ ตำบล,จัดซื้อผ้าห่มกันหนาวจำนวน และประชาชนที่ขาดแคลนผ้าห่มกันหนาว การดำเนินงานไม่บรรลุวัตถุประสงค์ของโครงการ,"1.ในโอกาสต่อไปหากมีการจัดทำโครงการเพื่อให้ความช่วยเหลือประชาชนที่เดือดร้อนในลักษณะเช่นนี้อีก 
ต้องมีการบูรณาการกับส่วนราชการ/หน่วยงานที่เกี่ยวข้องอย่างเป็นรูปธรรม 
ให้กำชับเจ้าหน้าที่ผู้รับผิดชอบจัดทำสรุปจำนวนประชาชนที่ได้รับความเดือดร้อนอย่างแท้จริงที่จะ","ทำให้การใช้จ่ายเงินงบประมาณไม่ประหยัด ไม่คุ้มค่า 
และไม่เกิดประโยชน์สูงสุดต่อประชาชน 
สูญเสียโอกาสในการนำเงินงบประมาณไปช่วยเหลือประชาชนที่ประสบภัยหนาวอย่างแท้จริง
"
FL-0069,การดำเนินงานไม่บรรลุวัตถุประสงค์เป้าหมายของโครงการ                                                  ,สำนักงานเกษตรจังหวัดอุดรธานี,โครงการสร้างรายได้และพัฒนาการเกษตรแก่ชุมชนเพื่อบรรเทาปัญหาภัยแล้ง,2560,สาเหตุเนื่องจากไม่มีการพัฒนาขุดลอกแหล่งน้ำเพื่อให้สามารถกักเก็บน้ำได้ ติดตั้งกังหันลมในการสูบน้ำโดยไม่ได้สำรวจสภาพพื้นที่และอัตรากำลังลม ติดตั้งมิเตอร์ไฟฟ้าไม่เหมาะสมกับการใช้งาน,การดำเนินการบางโครงการไม่เป็นไปตามหลักเกณฑ์ค่าจ้างแรงงาน และค่าวัสดุอุปกรณ และการจัดทำโครงการไม่เป็นไปตามคู่มือการดำเนินงานโครงการ,"เพื่อให้การดำเนินโครงการสร้างรายได้และพัฒนาการเกษตรแก่ชุมชนเพื่อบรรเทาปัญหาภัยแล้งบรรลุตามวัตถุประสงค์ของโครงการ 
สำนักงานการตรวจเงินแผ่นดินมีข้อเสนอแนะให้
ผู้ว่าราชการจังหวัดอุดรธานีในฐานะประธานคณะกรรมการบริหารโครงการสร้างรายได้และพัฒนา
การเกษตรแก่ชุมชนเ","การที่มีการจ้างแรงงานการจัดซื้อวัสดุอุปกรณ์/ครุภัณฑ์และการจัดทำโครงการไม่เป็น
ไปตามคู่มือการดำเนินงานโครงการสร้างรายได้และพัฒนาการเกษตรแก่ชุมชนเพื่อบรรเทา
ปัญหาภัยแล้งและเมื่อดำเนินโครงการแล้วเสร็จบางโครงการไม่มีการใช้ประโยชน์และ
บางโครงการมีการใช้ประโยชน"
